Date,Acquired,Dead,Alive,Other
S05,50%,38%,13%,0%
W06,25%,25%,38%,13%
S06,20%,70%,10%,0%
W07,31%,23%,46%,0%
S07,29%,12%,59%,0%
W08,14%,18%,64%,5%
S08,13%,17%,61%,9%
W09,19%,19%,63%,0%
S09,23%,5%,73%,0%
W10,25%,7%,61%,7%
S10,25%,3%,67%,6%
W11,11%,0%,85%,4%
S11,11%,3%,85%,0%
W12,12%,2%,86%,0%
S12,4%,0%,93%,3%
W13,0%,0%,100%,0%
S13,2%,2%,96%,0%
W14,0%,0%,100%,0%
S14,0%,0%,100%,0%
