Date,Business,Nonbusiness
S05,12.50,87.50
W06,0.00,100.00
S06,0.00,100.00
W07,7.69,92.31
S07,0.00,100.00
W08,18.18,81.82
S08,17.39,82.61
W09,0.00,100.00
S09,18.18,81.82
W10,10.71,89.29
S10,27.78,72.22
W11,29.79,70.21
S11,29.51,70.49
W12,12.28,87.72
S12,20.78,79.22
W13,5.41,94.59
S13,14.89,85.11
W14,29.31,70.69
S14,23.81,76.19
